['09:21:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:21:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:21:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:21:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:21:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:21:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:21:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:21:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:22:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:22:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:22:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:22:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:22:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:22:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:22:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:22:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:22:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:22:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:22:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:22:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:22:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:22:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:22:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:22:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:22:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:22:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:22:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:22:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:22:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:22:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:22:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:22:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:23:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:23:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:23:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:23:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:23:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:23:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:23:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:23:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:23:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:23:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:23:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:23:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:23:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:23:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:23:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:23:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:23:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:23:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:23:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:23:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:23:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:23:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:23:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:23:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:24:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:24:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
